,YEAR,AC,CANDIDATE,SEX,PARTY,VOTES
138,1957,35 TARUR,1 P. S. KARTHIKEYAN,M,INC,23956.0
139,1957,35 TARUR,2 AVIRA THARAKAN,M,IND,22296.0
140,1957,36 THAKASHI,1 THOMAS JOHN,M,INC,21940.0
141,1957,36 THAKASHI,2 VARGHESE VAIDLIAN T. K.,M,CPI,16480.0
142,1957,36 THAKASHI,3 KRISHNANKUTTY NAIR C.,M,RSP,5105.0
143,1957,36 THAKASHI,3 KRISHNANKUTTY NAIR C.,M,RSP,5105.0
144,1957,37 CHANGANACHERRY,1 KALYANAKRISHNAN NAIR M.,M,CPI,22539.0
145,1957,37 CHANGANACHERRY,2 RAGHAVAN PILLAI P.,M,INC,19693.0
146,1957,38 VAZHOOR,1 CHACKO P. T.,M,INC,20102.0
147,1957,38 VAZHOOR,2 RAGHAVA KURUP N.,M,CPI,20022.0
148,1957,39 KANJIRAPPALLY,1 THOMAS K. T.,M,INC,14896.0
149,1957,39 KANJIRAPPALLY,2 JOSEPH,M,PSP,12893.0
150,1957,39 KANJIRAPPALLY,3 VARGHESE P. P.,M,RSP,1873.0
151,1957,40 PUTHUPPALLY,1 P. C. CHERIAN,M,INC,20396.0
152,1957,40 PUTHUPPALLY,2 GEORGE E. M.,M,CPI,19000.0
153,1957,40 PUTHUPPALLY,3 ZACHARIAH V. J.,M,PSP,1406.0
154,1957,40 PUTHUPPALLY,4 NARAYANA KURUP P.,M,IND,1192.0
155,1957,41 KOTTAYAM,1 BHASKARAN NAIR P.,M,CPI,23021.0
156,1957,41 KOTTAYAM,2 GOVINDHAN NAIR M. P.,M,INC,20750.0
157,1957,41 KOTTAYAM,3 KUTTAPPAN P.,M,IND,1886.0
158,1957,42 ETTUMANOOR,1 JOSEPH GEORGE,M,INC,21423.0
159,1957,42 ETTUMANOOR,2 GOPALA PILLAI C. S.,M,CPI,19930.0
160,1957,42 ETTUMANOOR,3 NARAYANAN BHATTATHIRPAD,M,IND,246.0
161,1957,42 ETTUMANOOR,4 MATHEW,M,IND,233.0
162,1957,42 ETTUMANOOR,5 VARGHESE POULOSE,M,RSP,73.0
163,1957,43 MEENACHIL,1 JOSEPH P. M.,M,INC,20126.0
164,1957,43 MEENACHIL,2 THOMAS MATHAI,M,IND,13462.0
165,1957,44 VAIKOM,1 K. R. NARAYANAN,M,INC,25818.0
166,1957,44 VAIKOM,2 C. K. VISWANATHAN,M,CPI,25164.0
167,1957,45 KADUTHURUTHY,1 M. C. ABRAHAM,M,INC,22365.0
168,1957,45 KADUTHURUTHY,2 KURIAN KURIAN,M,IND,13552.0
169,1957,46 RAMAMANGALAM,1 POULOSE E. P,M,INC,20086.0
170,1957,46 RAMAMANGALAM,2 PARAMESWARAN NAIR,M,CPI,13588.0
171,1957,46 RAMAMANGALAM,3 NARAYANAN NAMBOORI,M,IND,5180.0
172,1957,47 MUVATTUPUZHA,1 K. M. GEORGE,M,INC,16820.0
173,1957,47 MUVATTUPUZHA,2 KURUVILLA MATTAI (MATHEW),M,CPI,14993.0
174,1957,47 MUVATTUPUZHA,3 BHASKARAN NAIR G,M,PSP,2019.0
175,1957,48 DEVICOLAM,1 ROSAMMA PUNNOSE,F,CPI,33809.0
176,1957,48 DEVICOLAM,2 GANAPATHY N. (SC),M,INC,31887.0
177,1957,48 DEVICOLAM,3 KARUPPAYYA I. (SC),M,IND,26576.0
178,1957,48 DEVICOLAM,4 RAMAYYA S. (SC),M,INC,24123.0
179,1957,48 DEVICOLAM,5 SARMA S.,M,IND,11799.0
180,1957,48 DEVICOLAM,6 THANKAYYA,M,IND,8759.0
181,1957,48 DEVICOLAM,7 PACHU PILLAI K.,M,RSP,7098.0
182,1957,48 DEVICOLAM,8 RAJARAM S. A. (SC),M,RSP,6530.0
183,1957,48 DEVICOLAM,9 BHASKARAN VELU,M,IND,6204.0
184,1957,49 THODUPUZHA,1 MATHEW C. A.,M,INC,22149.0
185,1957,49 THODUPUZHA,2 NARAYANAN NAIR K.,M,CPI,11680.0
186,1957,49 THODUPUZHA,3 DEVASSIA C,M,PSP,1252.0
187,1957,50 KARIKODE,1 KUSUMAN JOSEPH,F,INC,14669.0
188,1957,50 KARIKODE,2 AUGUSTINE OUSEPH,M,IND,12084.0
189,1957,50 KARIKODE,3 ANNA VARKEY,M,PSP,776.0
190,1957,51 POONJAR,1 THOMMAN T. A.,M,INC,21279.0
191,1957,51 POONJAR,2 CHACKO VALLIKKAPPAN (JOCOB),M,CPI,9045.0
192,1957,51 POONJAR,3 EMMANUAL PALKEDAY,M,PSP,4449.0
193,1957,52 PULIYANNUR,1 K. M. JOSEPH CHAZHICATT,M,PSP,18605.0
194,1957,52 PULIYANNUR,2 CHANDY,M,INC,17915.0
195,1957,52 PULIYANNUR,3 V. G. NAIR,M,IND,1056.0
196,1957,52 PULIYANNUR,3 V. G. NAIR,M,IND,1056.0
197,1957,53 PALLURUTHY,1 ALEXANDER PARAMBITHARA,M,INC,23666.0
198,1957,53 PALLURUTHY,2 GANGADHARAN P.,M,CPI,19848.0
199,1957,53 PALLURUTHY,3 RAMAKRISHNAN NAIR P. K.,M,PSP,1993.0
200,1957,54 MATTANCHERRY,1 VISWANATHAN K. K.,M,INC,19106.0
201,1957,54 MATTANCHERRY,2 ABOO T. M.,M,CPI,13046.0
202,1957,54 MATTANCHERRY,3 EBRAHIM S/O MOHAMMED,M,PSP,3007.0
203,1957,54 MATTANCHERRY,4 PAI L. G.,M,RSP,512.0
204,1957,55 NARAKAL,1 K. C. ABRAHAM,M,INC,24253.0
205,1957,55 NARAKAL,2 K. K. RAMAKRISHNAN,M,CPI,22321.0
206,1957,55 NARAKAL,3 POULO I.,M,PSP,1963.0
207,1957,56 ERANAKULAM,1 JACOB A. L.,M,INC,23857.0
208,1957,56 ERANAKULAM,2 V. RAMANKUTTY MENON,M,CPI,18172.0
209,1957,56 ERANAKULAM,3 K. SREENIVASA MALLAN,M,IND,1602.0
210,1957,56 ERANAKULAM,4 T. X. RAPHY,M,IND,583.0
211,1957,57 KANAYANNOUR,1 RAMAKRISHNAN T. K.,M,CPI,21292.0
212,1957,57 KANAYANNOUR,2 JOSEPH A. V.,M,INC,17506.0
213,1957,57 KANAYANNOUR,3 PARAMESWARA PANICKER,M,PSP,3955.0
214,1957,57 KANAYANNOUR,3 PARAMESWARA PANICKER,M,PSP,3955.0
215,1957,58 ALWAYE,1 T. O. BAVA,M,INC,23707.0
216,1957,58 ALWAYE,2 VARKEY M. C.,M,IND,21142.0
217,1957,59 PERUMBAVOOR,1 GOVINDA PILLAI P.,M,CPI,21679.0
218,1957,59 PERUMBAVOOR,2 K. A. DAMODARA MENON,M,INC,20780.0
219,1957,59 PERUMBAVOOR,"3 POULOSE CHUMMAR, K.",M,PSP,949.0
220,1957,60 KOTHAKULANGARS,1 ANTHONY M. A.,M,INC,24133.0
221,1957,60 KOTHAKULANGARS,2 A. P. KURIAN,M,CPI,15246.0
222,1957,60 KOTHAKULANGARS,3 P. J. KUNJITHOMMAN,M,IND,2636.0
223,1957,61 PARAVUR,1 SIVAN PILLAI N.,M,CPI,19997.0
224,1957,61 PARAVUR,2 K. I. MATHEW,M,INC,17909.0
225,1957,61 PARAVUR,3 CHUMMAR O. R.,M,PSP,5520.0
226,1957,62 VADAKARA,1 BALAN K. A.,M,CPI,23385.0
227,1957,62 VADAKARA,2 VIJAYAN K. R.,M,INC,17844.0
228,1957,63 CRANGANORE,1 E. GOPALAKRISHNA MENON,M,CPI,20385.0
229,1957,63 CRANGANORE,2 KUNJU MOIDEEN A. K.,M,INC,18894.0
230,1957,63 CRANGANORE,3 PUTHUR ACHUTHA MENON,M,PSP,7184.0
231,1957,64 CHALAKUDY,1 P. K. CHATHAN (SC),M,CPI,43454.0
232,1957,64 CHALAKUDY,2 C. J. JENARDHANAN,M,PSP,42997.0
233,1957,64 CHALAKUDY,3 PANAMILLY GOVINDA MENON,M,INC,39627.0
234,1957,64 CHALAKUDY,4 K. K. BALAKRISHNAN (SC),M,INC,30937.0
235,1957,64 CHALAKUDY,5 A. V. MOOTHEDAN,M,IND,6044.0
236,1957,65 IRINJALAKKUDA,1 ACHUTHA MENON C.,M,CPI,24140.0
237,1957,65 IRINJALAKKUDA,2 K. T. ACHUTHAN,M,INC,21480.0
238,1957,65 IRINJALAKKUDA,3 DEVASSY P.,M,IND,678.0
239,1957,66 MANALUR,1 MUNDASSERY JOSEPH,M,CPI,23350.0
240,1957,66 MANALUR,2 SUKUMARAN,M,INC,21355.0
241,1957,66 MANALUR,3 GOVINDANKUTTY NAIR K.,M,PSP,2486.0
242,1957,67 TRICHUR,1 A. R. MENON,M,IND,23531.0
243,1957,67 TRICHUR,2 KARUNAKARAN K.,M,INC,21045.0
244,1957,68 OLLUR,1 PARANCHU R.,M,INC,15994.0
245,1957,68 OLLUR,2 RAGHAVAN V.,M,CPI,15915.0
246,1957,68 OLLUR,3 VARHESE B. C.,M,PSP,3697.0
247,1957,69 KUNNAMKULAM,1 KRISHNAN T. K.,M,CPI,21161.0
248,1957,69 KUNNAMKULAM,2 VELAYUDHAN K. I.,M,INC,18788.0
249,1957,69 KUNNAMKULAM,3 IPE T. C.,M,PSP,2766.0
250,1957,70 WADAKKANCHERY,1 AYYAPPAN C. C. (SC),M,CPI,33161.0
251,1957,70 WADAKKANCHERY,2 KOCHUKUTTAN K (SC),M,INC,28895.0
252,1957,70 WADAKKANCHERY,3 BALAKRISHNA MENON K.,M,PSP,27357.0
253,1957,70 WADAKKANCHERY,4 NARAYANA MENON K.,M,INC,24467.0
254,1957,70 WADAKKANCHERY,5 KARAPPAN P. K. (SC),M,IND,11609.0
255,1957,71 NATTIKA,1 ACHUTHAN K. S.,M,INC,23594.0
256,1957,71 NATTIKA,2 GOPALAKRISHNAN P. K.,M,CPI,22039.0
257,1957,72 GURUVAYUR,1 KORU KOOLIYAT,M,IND,16722.0
258,1957,72 GURUVAYUR,2 ABUBAKER M. V.,M,INC,14087.0
259,1957,72 GURUVAYUR,3 SEBASTIAN K. J.,M,PSP,6259.0
260,1957,73 ANDATHODU,1 GOVINDAN KUTTY MENON K.,M,CPI,14229.0
261,1957,73 ANDATHODU,2 KARUNAKARA MENON K. G.,M,INC,12495.0
262,1957,73 ANDATHODU,2 KARUNAKARA MENON K. G.,M,INC,12495.0
263,1957,73 ANDATHODU,3 HANEEFA SAHIB E. S. M.,M,IND,8450.0
264,1957,74 PONNANI,1 KUNHAMBU KALLAYAN (SC),M,INC,22784.0
265,1957,74 PONNANI,2 KUNHAN ELIYATH THARAYIL (SC),M,CPI,20535.0
266,1957,74 PONNANI,3 IMBICHI BAVA E. K.,M,CPI,18793.0
267,1957,74 PONNANI,4 CHERUKOYA THANGAL V. P.,M,IND,18068.0
268,1957,74 PONNANI,5 RAMAN MENON K. V.,M,INC,16409.0
269,1957,74 PONNANI,5 RAMAN MENON K. V.,M,INC,16409.0
270,1957,74 PONNANI,6 CHATHU VARIATH PARAMBIL (SC),M,PSP,14697.0
271,1957,74 PONNANI,7 PADMANABHA MENON P. M.,M,RSP,2431.0
272,1957,75 KUZHALMANNAM,1 JOHN KUDUVAKKOTTE,M,IND,19437.0
273,1957,75 KUZHALMANNAM,2 KESAVA MENON T.P.,M,INC,14689.0
274,1957,76 ALATHUR,1 KRISHNAN R.,M,CPI,19203.0
275,1957,76 ALATHUR,2 VAITHEESWARA IYER P. S.,M,INC,13317.0
276,1957,76 ALATHUR,3 AHAMMAD KUTTY E.,M,IND,2288.0
277,1957,77 CHITTUR,1 BALACHANDRA MENON P.,M,CPI,23995.0
278,1957,77 CHITTUR,2 EACHARAN K. (SC),M,INC,22062.0
279,1957,77 CHITTUR,3 RAMANKUTTY K. (SC),M,CPI,20480.0
280,1957,77 CHITTUR,4 SUNNA SAHIB A.,M,INC,18317.0
281,1957,77 CHITTUR,5 KORAN O. (SC),M,PSP,15658.0
282,1957,77 CHITTUR,6 SIVARAMA BHARATHI K. A.,M,PSP,10722.0
283,1957,78 ELAPULLY,1 RAMANKUTTY A. K.,M,CPI,16768.0
284,1957,78 ELAPULLY,1 RAMANKUTTY A. K.,M,CPI,16768.0
285,1957,78 ELAPULLY,2 SANKARAN C. C.,M,INC,11560.0
286,1957,79 PALGHAT,1 RAGHAVA MENON R.,M,INC,14873.0
287,1957,79 PALGHAT,2 KUNHIRAMAN M. P.,M,CPI,14248.0
288,1957,79 PALGHAT,3 MOOSATH C. K.,M,IND,6058.0
289,1957,80 PARLI,1 NARAYANAKUTTY C. K.,M,CPI,21627.0
290,1957,80 PARLI,2 GOPALAKRISHNAN NAIR K.,M,INC,13996.0
291,1957,81 MANNARGHAT,1 KRISHNA MENON K.,M,CPI,13375.0
292,1957,81 MANNARGHAT,1 KRISHNA MENON K.,M,CPI,13375.0
293,1957,81 MANNARGHAT,2 KOCHUNNY NAIR K. C.,M,INC,9665.0
294,1957,81 MANNARGHAT,3 SANKARANKUTTY PANICKER V.,M,IND,5356.0
295,1957,81 MANNARGHAT,4 KUTTAN ALIAS UNNEERI VYDIAR,M,IND,1866.0
296,1957,82 PERINTHALMANNA,1 GOVINDAN NAMBIAR,M,CPI,13248.0
297,1957,82 PERINTHALMANNA,2 POOKOYA THANGAL HAJI P. V.,M,IND,9398.0
298,1957,82 PERINTHALMANNA,3 CHERIKKATTIL KARUNAKARAN,M,INC,7861.0
299,1957,83 OTTAPALAM,1 KUNHUNNI NAYAR,M,CPI,16157.0
300,1957,83 OTTAPALAM,2 SUNDARA IYER N.,M,INC,15248.0
301,1957,84 PATTAMBI,1 GOPALAN ERASSERI PATINHARETHIL,M,CPI,17447.0
302,1957,84 PATTAMBI,2 PADAMANABHA MENON K. P.,M,INC,9793.0
303,1957,84 PATTAMBI,3 ABDUL MAJEED PUDIAVEETTIL P. K.,M,IND,5482.0
304,1957,85 MANKADA,1 MOHAMMAD KODUR VALIA PEEDIKAKKAL,M,IND,11854.0
305,1957,85 MANKADA,2 MOHAMMAD MALAVATTATH,M,INC,8338.0
306,1957,85 MANKADA,3 RAGHAVA PISHARODI,M,CPI,6849.0
307,1957,85 MANKADA,4 MATHAI M. C.,M,IND,869.0
308,1957,86 TIRUR,1 MOIDEENKUTTY HAJEE K.,M,IND,15404.0
309,1957,86 TIRUR,2 ALIKUTTY P. P.,M,INC,13231.0
310,1957,86 TIRUR,3 GOPALAN P.,M,CPI,8850.0
311,1957,87 TANUR,1 MUHAMMED KOYA C. H.,M,IND,16787.0
312,1957,87 TANUR,2 ASSANAR KUTTY T.,M,INC,11520.0
313,1957,88 KUTTIPPURAM,1 AHAMEDKUTTY C.,M,IND,15495.0
314,1957,88 KUTTIPPURAM,2 MOIDEENKUTTY P. K.,M,INC,10424.0
315,1957,88 KUTTIPPURAM,3 RAGHAVANUNNI NAIR T.,M,IND,6030.0
316,1957,89 TIRURANGADI,1 AYUKKADARKUTTY NAHAK,M,IND,17622.0
317,1957,89 TIRURANGADI,2 KUNHALIKUTTY HAJI A.,M,INC,16670.0
318,1957,89 TIRURANGADI,3 MUHAMAD NAHA K.,M,IND,8305.0
319,1957,90 MALAPPURAM,1 HASSAN GANI K.,M,IND,17214.0
320,1957,90 MALAPPURAM,2 SAIDALAVI P.,M,INC,12243.0
321,1957,90 MALAPPURAM,3 KUNHANUJAN RAJA K. C.,M,CPI,4566.0
322,1957,91 MANJERI,1 UMMER KOYA P. P.,M,INC,30860.0
323,1957,91 MANJERI,2 CHADAYAN M. (SC),M,IND,29101.0
324,1957,91 MANJERI,3 MARAKKA R.N.,M,IND,27258.0
325,1957,91 MANJERI,4 CHERIYAKARIKUTTY (SC),M,INC,24434.0
326,1957,91 MANJERI,5 USMAN,M,IND,15539.0
327,1957,91 MANJERI,6 ACHUTHANANDAN (SC),M,CPI,13513.0
328,1957,92 KONDOTTY,1 AHAMMAD KURIKKAL M. P. M.,M,IND,18981.0
329,1957,92 KONDOTTY,2 ABUBAKAR KOLAKADAN,M,INC,11866.0
330,1957,92 KONDOTTY,3 MUHAMMAD KUNHI P. K.,M,CPI,4101.0
